term_str,0,1,2,3,4,5,6,7,8,9
climbed,0.0337876618310976,0.004090615559764389,-0.007558852053845362,0.05917034366749284,0.028962896193540807,-0.039425122442795904,0.020792979147153064,-0.001446086660495863,0.005336366726334085,-0.010564895047675696
crush,0.023876416584417193,-0.017493839552283404,-0.007930160797216493,-0.036624917848075866,0.05294536163633495,0.05318789289335174,-0.08575208934237935,-0.008638792665248037,0.04617032869249953,0.03126512826513239
kinds,-0.025141963499358266,-0.06183645138589928,0.03027452586857451,0.0001791282252221471,-0.00022832060582558822,-0.015404196537062986,0.03882951026675413,-0.01872164061911676,0.03282077876569586,-0.007904540628871692
slice,-0.0016400380158428929,-0.021816970147290636,0.00021663730109054702,-0.00634440492019861,-0.03234950106592405,0.0014471521608803023,-0.008606767627589926,0.03411747159025887,-0.05214602648255757,-0.025994100045580754
backtoback,0.024115929533814175,-0.005414518282188474,-0.000917993134915987,0.005962395581862456,-0.03559274928906811,-0.014693065284585916,0.0028240289092220094,0.016982660251110983,0.009816368009385748,-0.0060250191562888356
compassion,-0.013737781755260444,-0.029639236910457833,0.016406653158915818,-0.007180602087222883,0.008834566546663314,-0.0019046196793131437,0.016921525297703355,-0.0030371960086953663,-0.001916052822700312,-0.01599002955981449
slaves,-0.008324958954672147,-0.03456119515373235,0.001930671960735264,-0.011598145806526433,0.009784015470242192,-0.006965507039813884,0.003457806818291831,0.004834727339075348,-0.07576228261856303,-0.050018251256303686
tunnel,0.011431745388483764,0.0014442471618966168,-0.015515198066141392,0.008341507467721054,-0.01572352656143222,0.03823121575069791,0.001177539429349006,-0.05122091894504452,-0.03040761604423453,-0.0040760587097446455
tunnels,0.021529214693123796,-0.017181445491361136,0.0016129315212469741,-0.0077579952731930794,0.028469212212471173,0.03639574374590676,-0.007697660826424979,0.002594638940527777,0.0011123918112962913,-0.03154418989368346
slashing,0.018830284673265515,0.01371575583316395,-0.03138692661532716,-0.024501370506830544,0.018446763484129495,-0.0030751881923858915,0.03744783647356931,0.01159457811546805,0.013284592395549827,-0.0009510850520090819
turbulent,-0.005692186888087121,0.005199901650556463,-0.031604891964632786,-0.0006051676610408785,-0.011028253150505152,0.016965849689325976,-0.02479570581925225,-0.05938062042243467,-0.019885237092384607,-0.02579978675294914
notoriously,-0.026433684069243457,-0.008489675791810553,-0.0029883662370289166,0.009681667457831208,-0.057315286645362395,0.036120735280133265,0.006353691575582188,-0.01821993553099149,-0.009784371618313192,-0.0062783823087558255
slashed,0.02485543948614555,-0.014813822407023608,0.0013877944959298644,-0.010506933412212658,0.025904394926982238,0.039394220136725694,-0.009695443266016679,0.0042166311227693765,-0.00958260730129154,-0.022691354109746875
hardfought,-0.02917825313575623,0.015184092269019484,-0.04641900150555434,-0.058579718420832344,0.02549395949690443,0.00048639830119982796,0.0709188846555793,0.04371344921259105,-0.008182797992259405,0.020141845100802025
hardest,0.006925022093367554,-0.025016653139610167,0.008900572169285838,-0.008432063625084371,0.0032030209029778284,0.002354640645315948,0.008062072607676198,-0.004202403956808154,-0.040864598247114095,-0.0008335005204273705
psychiatric,0.02152614891823921,0.0008066148248480317,-0.02760019917234381,-0.026709440110357436,0.02206973716991299,0.012151314660266484,0.03649846999354558,0.01287277927182458,0.014837362257169433,-0.0027869964450641287
slain,0.06518364909621814,-0.02492211608418102,-0.002827964499549278,-0.0016314616114048365,0.023547085013359635,-0.026916981605991642,0.03992377685385506,-0.031179053816134988,0.0028893465456589487,-0.08293424866538669
turtle,-0.003833992314853066,0.10045742855840853,0.11024949971281288,-0.032590995123091444,0.0027910554664572146,-0.032255589796107174,-0.018542161890181538,-0.007152807942957613,-0.005984391577993881,-0.03399303848891667
skyrocketing,0.016837325553491128,-0.008986487817061605,0.003687208725206276,-0.0006389687159293802,0.008335291657033155,0.005461228548060146,0.0033999447588130773,-0.006389493487325787,0.006555828437606045,-0.00011465187614359893
notified,-0.04501081602535566,0.02086230845305121,-0.08389907810048824,-0.040628371398909395,-0.007302118991679903,-0.002796279084883941,0.048554470909468884,-0.025736880887885956,0.018392066574665782,0.012354367290945722
drowning,0.042990427777132856,-0.018131354974903983,0.0011421707704268819,-0.008184423655464283,0.02347314035978647,0.0120662362550105,0.013003661020694769,-0.01076901424230649,-0.015041069193056407,-0.04335255328208864
lab,0.0357006679327261,-0.01684260823507519,0.01791219963172184,-0.008349917339690522,0.017062931018350994,0.020137246316368377,0.0029156980327726964,-0.007862680077550185,0.013209439375751465,0.037514153477329615
labeling,0.010507723443339521,-0.013269935521632099,0.013277601674861738,-0.003997501857886022,0.01836180774880263,0.01083858540848837,0.013697348458572338,-0.0071476340155687745,0.034969189447397284,-0.009369359427568152
killers,0.04210032422163556,-0.011661378632008694,0.002890042716115737,-0.0002856320384332309,0.021145701543750756,0.006933720801771219,0.009650305718178742,-0.01551810669342476,0.023350111364794864,-0.016608710548144025
kidnapping,0.11043033353499968,-0.022793638321031554,-0.006505207803840442,0.005771645566711378,0.03720863941721937,-0.03285084436442623,0.05643771524957638,-0.0503207136305704,0.05673139443049805,-0.10989970945336443
uproar,0.00990469179894406,0.011600830656195342,-0.04230179815237086,-0.04063725923328301,0.04197805481969125,0.036549833567197564,-0.022655615698559634,0.019294484404048105,0.03491904645647658,0.013297832629128344
truths,-0.04920855262777541,-0.041731910091920434,0.0015846577004602418,-0.007321344887236291,-0.013281710272744395,0.03588310386048898,0.011716162516343269,-0.035808810862381225,-0.09954915470154263,-0.04485473344272985
